Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
5101,'014,Eastern Africa,1091,'0232,"Eggs from other birds in shell, fresh, n.e.c.",5424,Yield/Carcass Weight,1995,1995,g/An,2114.0,E,
5204,'013,Central America,1058,'21121,"Meat of chickens, fresh or chilled",5424,Yield/Carcass Weight,1990,1990,g/An,1478.0,A,
351,'159,China,490,'01323,Oranges,5312,Area harvested,1975,1975,ha,37227.0,E,
55,'212,Dominica,56,'0112,Maize (corn),5510,Production,1961,1961,t,130.0,E,
231,'840,United States of America,399,'01233,Eggplants (aubergines),5510,Production,1963,1963,t,23714.0,A,
226,'800,Uganda,1808,'F1808,"Meat, Poultry",5510,Production,1992,1992,t,33020.0,E,
154,'807,North Macedonia,402,'01253.01,"Onions and shallots, green",5312,Area harvested,2005,2005,ha,129.0,I,
215,'834,United Republic of Tanzania,619,'01359.90,"Other fruits, n.e.c.",5312,Area harvested,1994,1994,ha,31493.0,I,
2,'004,Afghanistan,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",5320,Producing Animals/Slaughtered,1993,1993,An,540000.0,E,
69,'254,French Guiana,1807,'F1807,Sheep and Goat Meat,5510,Production,1986,1986,t,16.9,E,
211,'756,Switzerland,560,'01330,Grapes,5412,Yield,1976,1976,kg/ha,11505.2,A,
129,'450,Madagascar,619,'01359.90,"Other fruits, n.e.c.",5312,Area harvested,2013,2013,ha,1300.0,E,
195,'686,Senegal,195,'01706,"Cow peas, dry",5412,Yield,1968,1968,kg/ha,245.7,A,
237,'704,Viet Nam,1806,'F1806,"Beef and Buffalo Meat, primary",5417,Yield/Carcass Weight,1991,1991,kg/An,80.0,E,
136,'478,Mauritania,868,'21151,"Edible offal of cattle, fresh, chilled or frozen",5510,Production,1995,1995,t,1877.33,I,
